academic_year,grade,semester,course_name,course_code,completion_type,credits,group_size,partner_codes,previous_year,previous_generation,next_year,next_generation,previous_direct_four_year,previous_direct_six_year,next_direct_four_year,next_direct_six_year,row_lineage_candidate,pair_status,lineage_reason
2024,5,2,약무행정실무필수실습,ADA174,전필,1,2,ADB087,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
2024,5,2,약무행정실무필수실습,ADB087,전필,1,2,ADA174,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
2024,5,2,약전 및 품질관리학,ADA167,전선,3,2,ADB081,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
2024,5,2,약전 및 품질관리학,ADB081,전선,3,2,ADA167,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
2024,5,2,한약제제학,ADB080,전필,2,2,ADA140,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
2024,5,2,한약제제학,ADA140,전필,2,2,ADB080,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
2024,6,1,의료기관약국 필수실무실습 1,ADA213,전필,3,2,ADB093,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
2024,6,1,의료기관약국 필수실무실습1,ADB093,전필,3,2,ADA213,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
2024,6,1,의료기관약국 필수실무실습 2,ADA214,전필,2,2,ADB094,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
2024,6,1,의료기관약국 필수실무실습2,ADB094,전필,2,2,ADA214,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
2024,6,1,의료기관약국 필수실무실습 3,ADA215,전필,3,2,ADB095,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
2024,6,1,의료기관약국 필수실무실습3,ADB095,전필,3,2,ADA215,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
2024,6,1,의료기관약국 필수실무실습 4,ADA216,전필,2,2,ADB096,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
